domain,workload,Identity,H2,Wavelet,HB,GreedyH,YuanConvex,SVDB
128,all-range,6.582805886043833,3.4252515061976374,3.10127744880041,6.582805886043833,5.527554512093641,2.599181805478603,2.5734725086329013
128,prefix,8.031189202104505,2.8099401583796952,2.794473480147913,8.031189202104505,5.336487176395368,2.3120911713428396,2.2544140344498174
128,width32,5.656854249492381,3.440445408079211,3.0443986930199944,5.656854249492381,4.718991405200545,2.3000442155559924,2.200986867973526
256,all-range,9.273618495495704,3.835363996450649,3.505013319547386,4.450434025140798,5.524734513704334,2.902169221655514,2.8763585581409346
256,prefix,11.335784048754634,3.1022372719717644,3.085059705060675,4.4852700095784135,5.233055644252918,2.528223367467486,2.4714459649021547
256,width32,5.656854249492381,3.6545452907381706,3.1994201134736904,3.704087126122778,5.656854249492381,2.357662276180983,2.3037582987210774
512,all-range,13.089435944047908,4.244976951040033,3.911176097873472,5.34866458026046,8.443801988776183,3.209922792933631,3.1832074764205527
512,prefix,16.015617378046965,3.3943522295168544,3.3761899757628275,5.394841542993048,8.430091663750803,2.7515761131831584,2.6900647820550825
512,width32,5.656854249492381,3.8563190467438533,3.367176175660251,4.11604032314893,5.656854249492381,2.3793286548250077,2.3503501487290936
1024,all-range,18.49324200890693,4.654169977877171,4.318521525649876,6.408692360218512,8.568653093398822,3.568100282990444,3.4923407505042805
1024,prefix,22.638462845343543,3.6861586552943884,3.667399174319099,6.433812197596335,8.42458293971467,3.0652911247160457,2.9095843877394243
1024,width32,5.656854249492381,4.047054465471033,3.5315036591976234,4.752393949676518,5.656854249492381,2.388717141433618,2.3725505668946116
2048,all-range,26.14064523559687,5.063062655737136,4.726435434267867,7.663403928228973,10.43418310894674,3.850227509882645,3.802768110018751
2048,prefix,32.00781154655844,3.977631302415767,3.958484138159224,7.713618071894534,10.922352441068325,5.001766132120014,3.1296081568819774
2048,width32,5.656854249492381,4.228423047455345,3.68925020933523,5.450526347925724,5.656854249492381,3.5773968585007476,2.383387585115259
