,trial,dataset,epsilon,scale,domain,GreedyH,Opt
0,0,SEARCHLOGS,0.01,100000,256,721.471833232,569.402260495
1,1,SEARCHLOGS,0.01,100000,256,378.655208342,467.055169047
2,2,SEARCHLOGS,0.01,100000,256,545.966495512,478.721929718
3,3,SEARCHLOGS,0.01,100000,256,480.903300716,412.903757473
4,4,SEARCHLOGS,0.01,100000,256,586.783800592,781.454575745
5,5,SEARCHLOGS,0.01,100000,256,772.461348936,661.921847525
6,6,SEARCHLOGS,0.01,100000,256,336.062798899,415.824888104
7,7,SEARCHLOGS,0.01,100000,256,579.998233246,745.656134824
8,8,SEARCHLOGS,0.01,100000,256,860.438930522,820.246696486
9,9,SEARCHLOGS,0.01,100000,256,570.547521789,735.946040913
10,10,SEARCHLOGS,0.01,100000,256,280.031298265,461.491460272
11,11,SEARCHLOGS,0.01,100000,256,548.214132678,1250.54451872
12,12,SEARCHLOGS,0.01,100000,256,941.869410895,806.06836204
13,13,SEARCHLOGS,0.01,100000,256,580.432682993,567.062245798
14,14,SEARCHLOGS,0.01,100000,256,723.69156716,761.877874351
15,15,SEARCHLOGS,0.01,100000,256,340.313960354,489.016448487
16,16,SEARCHLOGS,0.01,100000,256,586.81790584,523.206041579
17,17,SEARCHLOGS,0.01,100000,256,1439.36426061,1254.72729843
18,18,SEARCHLOGS,0.01,100000,256,539.940976566,518.936250674
19,19,SEARCHLOGS,0.01,100000,256,295.454581244,304.372200424
20,20,SEARCHLOGS,0.01,100000,256,389.73648491,394.94121208
21,21,SEARCHLOGS,0.01,100000,256,501.044456571,327.790838326
22,22,SEARCHLOGS,0.01,100000,256,518.660970025,463.383315152
23,23,SEARCHLOGS,0.01,100000,256,661.876839875,717.663660458
24,24,SEARCHLOGS,0.01,100000,256,523.924624694,489.428574045
25,0,SEARCHLOGS,0.01,100000,1024,656.994103618,455.778930041
26,1,SEARCHLOGS,0.01,100000,1024,522.434662372,483.726482127
27,2,SEARCHLOGS,0.01,100000,1024,672.23508106,601.096735876
28,3,SEARCHLOGS,0.01,100000,1024,383.190004896,644.672873403
29,4,SEARCHLOGS,0.01,100000,1024,624.047281748,556.718534777
30,5,SEARCHLOGS,0.01,100000,1024,522.833199126,393.72672362
31,6,SEARCHLOGS,0.01,100000,1024,558.052156281,694.865648986
32,7,SEARCHLOGS,0.01,100000,1024,524.099517618,392.228034836
33,8,SEARCHLOGS,0.01,100000,1024,1102.10577611,1125.02197275
34,9,SEARCHLOGS,0.01,100000,1024,965.537252112,870.555073998
35,10,SEARCHLOGS,0.01,100000,1024,539.288976934,527.167705006
36,11,SEARCHLOGS,0.01,100000,1024,510.713422112,534.074723987
37,12,SEARCHLOGS,0.01,100000,1024,1265.22798665,820.572919501
38,13,SEARCHLOGS,0.01,100000,1024,708.365342658,584.802959791
39,14,SEARCHLOGS,0.01,100000,1024,815.378067837,989.722964031
40,15,SEARCHLOGS,0.01,100000,1024,324.19654868,298.108656079
41,16,SEARCHLOGS,0.01,100000,1024,872.272819857,835.958685123
42,17,SEARCHLOGS,0.01,100000,1024,1134.50849264,1097.38014894
43,18,SEARCHLOGS,0.01,100000,1024,460.126908546,499.011672769
44,19,SEARCHLOGS,0.01,100000,1024,900.778796635,871.992604124
45,20,SEARCHLOGS,0.01,100000,1024,506.316305104,363.013058793
46,21,SEARCHLOGS,0.01,100000,1024,340.645703198,696.487742273
47,22,SEARCHLOGS,0.01,100000,1024,421.540244353,424.715404335
48,23,SEARCHLOGS,0.01,100000,1024,868.267639141,634.768505355
49,24,SEARCHLOGS,0.01,100000,1024,682.167930714,716.214259598
50,0,SEARCHLOGS,0.01,100000,4096,645.814927117,437.796493962
51,1,SEARCHLOGS,0.01,100000,4096,562.523665004,462.386572298
52,2,SEARCHLOGS,0.01,100000,4096,678.175411277,497.237614462
53,3,SEARCHLOGS,0.01,100000,4096,413.711671641,451.15133041
54,4,SEARCHLOGS,0.01,100000,4096,701.512786815,553.380979473
55,5,SEARCHLOGS,0.01,100000,4096,582.038934257,615.273265675
56,6,SEARCHLOGS,0.01,100000,4096,450.850945215,425.939679545
57,7,SEARCHLOGS,0.01,100000,4096,536.814585161,590.292689935
58,8,SEARCHLOGS,0.01,100000,4096,665.653284412,377.184345065
59,9,SEARCHLOGS,0.01,100000,4096,759.64709702,653.844806417
60,10,SEARCHLOGS,0.01,100000,4096,652.315245509,411.358353237
61,11,SEARCHLOGS,0.01,100000,4096,496.621059785,495.668740199
62,12,SEARCHLOGS,0.01,100000,4096,834.480054821,681.136797175
63,13,SEARCHLOGS,0.01,100000,4096,550.418313266,548.697794553
64,14,SEARCHLOGS,0.01,100000,4096,904.616674339,937.91310709
65,15,SEARCHLOGS,0.01,100000,4096,424.869466433,504.934393457
66,16,SEARCHLOGS,0.01,100000,4096,883.562020757,927.445719173
67,17,SEARCHLOGS,0.01,100000,4096,877.048590009,801.720814541
68,18,SEARCHLOGS,0.01,100000,4096,475.028488843,487.966254828
69,19,SEARCHLOGS,0.01,100000,4096,616.99963918,693.451688073
70,20,SEARCHLOGS,0.01,100000,4096,547.274108465,421.072111791
71,21,SEARCHLOGS,0.01,100000,4096,763.403528606,542.291633075
72,22,SEARCHLOGS,0.01,100000,4096,511.986868024,412.373122637
73,23,SEARCHLOGS,0.01,100000,4096,669.377124542,819.735464259
74,24,SEARCHLOGS,0.01,100000,4096,486.583092276,575.580992241
75,0,SEARCHLOGS,1.0,100000,256,8.73666029197,6.33385498648
