,trial,dataset,epsilon,scale,domain,GreedyH,Opt
0,0.0,SEARCHLOGS,0.1,100000.0,256.0,72.0389068321,59.3107191458
1,1.0,SEARCHLOGS,0.1,100000.0,256.0,53.4665766651,99.2422931085
2,2.0,SEARCHLOGS,0.1,100000.0,256.0,103.255437762,54.1588018897
3,3.0,SEARCHLOGS,0.1,100000.0,256.0,92.7134816938,46.9722267242
4,4.0,SEARCHLOGS,0.1,100000.0,256.0,81.1155590353,60.5627994682
5,5.0,SEARCHLOGS,0.1,100000.0,256.0,112.052753879,52.3086950213
6,6.0,SEARCHLOGS,0.1,100000.0,256.0,62.6188742672,54.7763655883
7,7.0,SEARCHLOGS,0.1,100000.0,256.0,75.0639825764,77.0275309266
8,8.0,SEARCHLOGS,0.1,100000.0,256.0,115.844776346,100.765952468
9,9.0,SEARCHLOGS,0.1,100000.0,256.0,73.2748615883,65.3335574981
10,10.0,SEARCHLOGS,0.1,100000.0,256.0,63.9952211694,58.2896377548
11,11.0,SEARCHLOGS,0.1,100000.0,256.0,94.1445993514,71.7628221153
12,12.0,SEARCHLOGS,0.1,100000.0,256.0,157.651194914,59.1015712279
13,13.0,SEARCHLOGS,0.1,100000.0,256.0,46.4305660976,384.404315743
14,14.0,SEARCHLOGS,0.1,100000.0,256.0,156.790247129,92.5747729995
15,15.0,SEARCHLOGS,0.1,100000.0,256.0,72.1199044813,58.2234870849
16,16.0,SEARCHLOGS,0.1,100000.0,256.0,82.7646818482,29.7520320525
17,17.0,SEARCHLOGS,0.1,100000.0,256.0,118.988392773,67.1181635818
18,18.0,SEARCHLOGS,0.1,100000.0,256.0,57.2037014542,53.5738864343
19,19.0,SEARCHLOGS,0.1,100000.0,256.0,60.9658882461,37.3784746977
20,20.0,SEARCHLOGS,0.1,100000.0,256.0,87.3657296927,1239.27492514
21,21.0,SEARCHLOGS,0.1,100000.0,256.0,59.3119758148,65.8117246235
22,22.0,SEARCHLOGS,0.1,100000.0,256.0,69.5003727507,45.5535993041
23,23.0,SEARCHLOGS,0.1,100000.0,256.0,108.776150904,76.415185159
24,24.0,SEARCHLOGS,0.1,100000.0,256.0,68.011297639,69.8509684996
25,0.0,SEARCHLOGS,0.1,100000.0,1024.0,93.1680726338,82.8315507877
26,1.0,SEARCHLOGS,0.1,100000.0,1024.0,103.766136075,81.4017784326
27,2.0,SEARCHLOGS,0.1,100000.0,1024.0,69.7622540862,82.8140420071
28,3.0,SEARCHLOGS,0.1,100000.0,1024.0,108.607782687,80.7752384717
29,4.0,SEARCHLOGS,0.1,100000.0,1024.0,92.4180192065,55.9413838625
30,5.0,SEARCHLOGS,0.1,100000.0,1024.0,94.4834831625,78.4851666786
31,6.0,SEARCHLOGS,0.1,100000.0,1024.0,83.1102196271,58.8759920792
32,7.0,SEARCHLOGS,0.1,100000.0,1024.0,90.9789756819,63.8192197578
33,8.0,SEARCHLOGS,0.1,100000.0,1024.0,132.049667455,85.3574123785
34,9.0,SEARCHLOGS,0.1,100000.0,1024.0,95.7609166138,73.1032018733
35,10.0,SEARCHLOGS,0.1,100000.0,1024.0,91.4243043651,56.9417338016
36,11.0,SEARCHLOGS,0.1,100000.0,1024.0,88.1709028654,64.2689051637
37,12.0,SEARCHLOGS,0.1,100000.0,1024.0,158.377176833,94.2968734628
38,13.0,SEARCHLOGS,0.1,100000.0,1024.0,104.122441503,61.8064983609
39,14.0,SEARCHLOGS,0.1,100000.0,1024.0,154.510102235,63.3244223782
40,15.0,SEARCHLOGS,0.1,100000.0,1024.0,59.5057118124,63.6948708221
41,16.0,SEARCHLOGS,0.1,100000.0,1024.0,136.31084195,64.6115214266
42,17.0,SEARCHLOGS,0.1,100000.0,1024.0,125.581738012,83.0341329982
43,18.0,SEARCHLOGS,0.1,100000.0,1024.0,58.3875330228,87.2714565709
44,19.0,SEARCHLOGS,0.1,100000.0,1024.0,75.380004729,90.3081653172
45,20.0,SEARCHLOGS,0.1,100000.0,1024.0,78.1968591768,87.0624394282
46,21.0,SEARCHLOGS,0.1,100000.0,1024.0,85.0836033677,81.9590365067
47,22.0,SEARCHLOGS,0.1,100000.0,1024.0,74.2806091496,67.9388202585
48,23.0,SEARCHLOGS,0.1,100000.0,1024.0,99.5244855876,75.6441475295
49,24.0,SEARCHLOGS,0.1,100000.0,1024.0,91.1778775154,61.5668819196
50,0.0,SEARCHLOGS,0.1,100000.0,4096.0,68.911199216,75.8620805903
51,1.0,SEARCHLOGS,0.1,100000.0,4096.0,100.647723328,68.6147985141
52,2.0,SEARCHLOGS,0.1,100000.0,4096.0,106.345765214,87.7239688575
53,3.0,SEARCHLOGS,0.1,100000.0,4096.0,72.9258169755,94.8243065337
54,4.0,SEARCHLOGS,0.1,100000.0,4096.0,85.1745327462,57.1001884581
55,5.0,SEARCHLOGS,0.1,100000.0,4096.0,138.915087199,80.2923610069
56,6.0,SEARCHLOGS,0.1,100000.0,4096.0,61.248565546,96.5392209653
57,7.0,SEARCHLOGS,0.1,100000.0,4096.0,168.387043284,78.2212791921
58,8.0,SEARCHLOGS,0.1,100000.0,4096.0,78.4067534981,84.8895735504
59,9.0,SEARCHLOGS,0.1,100000.0,4096.0,106.143672874,57.4899691308
60,10.0,SEARCHLOGS,0.1,100000.0,4096.0,82.3039083407,64.3297458708
61,11.0,SEARCHLOGS,0.1,100000.0,4096.0,94.2794602517,119.864669852
62,12.0,SEARCHLOGS,0.1,100000.0,4096.0,144.248779084,74.5121084887
63,13.0,SEARCHLOGS,0.1,100000.0,4096.0,91.8814557417,68.3064623339
64,14.0,SEARCHLOGS,0.1,100000.0,4096.0,132.565068372,104.282039472
65,15.0,SEARCHLOGS,0.1,100000.0,4096.0,74.6299605618,75.0967900051
66,16.0,SEARCHLOGS,0.1,100000.0,4096.0,143.333928392,98.4401214473
67,17.0,SEARCHLOGS,0.1,100000.0,4096.0,123.885608114,70.0792032904
68,18.0,SEARCHLOGS,0.1,100000.0,4096.0,57.7524384712,68.2378616267
