dims,trial,error,time
2,0,2.1380899353,0.011883020401
2,1,2.1380899353,0.012619972229
2,2,2.1380899353,0.0155930519104
2,3,2.1380899353,0.00985908508301
2,4,2.1380899353,0.010703086853
3,0,3.49535730058,0.023579120636
3,1,3.49535730056,0.0215599536896
3,2,3.49535730056,0.0191450119019
3,3,3.49535730056,0.0212619304657
3,4,4.72814073967,0.0149691104889
4,0,6.11741586874,0.0282299518585
4,1,6.11741586874,0.0277771949768
4,2,6.11741586878,0.0233368873596
4,3,6.11741586874,0.0363190174103
4,4,6.11741586876,0.0233969688416
5,0,10.4448168782,0.0469341278076
5,1,10.4448168783,0.0509538650513
5,2,10.1683239078,0.0505909919739
5,3,10.4448168785,0.0423178672791
5,4,10.4448168782,0.0442700386047
6,0,18.8633349883,0.100908994675
6,1,18.6781936228,0.0967009067535
6,2,19.1585913101,0.072979927063
6,3,19.15859131,0.0731670856476
6,4,18.678193622,0.117555141449
7,0,32.1039586491,0.190716028214
7,1,32.1039586491,0.237874031067
7,2,32.1039586504,0.27276802063
7,3,32.1039586491,0.25300693512
7,4,32.103958649,0.283489942551
8,0,58.7761797579,0.497458934784
8,1,60.8367437367,0.725084066391
8,2,60.1333455327,0.453632116318
8,3,57.4483183732,0.581752061844
8,4,58.1336316389,0.450222969055
9,0,94.7102228995,6.59524393082
9,1,97.4793660105,2.24786710739
9,2,92.5932086811,2.52728486061
9,3,94.7191966915,5.65055680275
9,4,94.8582382603,1.74975013733
10,0,179.987110984,10.0772659779
10,1,175.322800823,5.66276597977
10,2,181.88860577,7.7614979744
10,3,176.448407513,7.27001595497
10,4,180.464142994,4.81410312653
11,0,,61.6938309669
11,1,292.060897494,30.7214620113
11,2,286.848421731,28.1475951672
11,3,289.931706873,23.2903881073
11,4,296.806832763,26.2737560272
12,0,1771.39831794,154.12417388
12,1,548.566744489,54.3880388737
12,2,,220.823964119
12,3,5.84211630169e+20,292.807511091
12,4,9.23071009958e+19,124.502577066
13,0,1680.07564319,68.4480390549
13,1,904.720015544,327.277769089
13,2,,3193.06975293
13,3,904.402285108,555.586224079
13,4,2512.39580736,929.516410112
14,0,,5381.72772598
14,1,,2142.88357711
14,2,1704.02509295,21328.4399569
14,3,1716.55556109,4141.96904898
14,4,,1952.29493594
15,0,,6394.01452804
15,1,,9327.63592815
15,2,,8016.40167308
15,3,4785.75907542,2607.6160078
15,4,2842.75676794,13604.28881
