Mechanism,Domain,Time
LRM 1D,32,0.67
LRM 1D,64,1.59
LRM 1D,128,4.6
LRM 1D,256,23.57
LRM 1D,512,159.29
LRM 1D,1024,1117.97
HDMM 3D,8,0.518689
HDMM 3D,64,0.530339
HDMM 3D,512,0.567056
HDMM 3D,4096,0.528878
HDMM 3D,32768,0.818784
HDMM 3D,262144,2.220886
HDMM 3D,2097152,3.084369
HDMM 3D,16777216,7.320954
HDMM 3D,134217728,87.893451
HDMM 3D,1073741824,672.926283
GreedyH 1D,32,0.0072
GreedyH 1D,64,0.012
GreedyH 1D,128,0.02375
GreedyH 1D,256,0.04477
GreedyH 1D,512,0.13615
GreedyH 1D,1024,0.38216
GreedyH 1D,2048,1.7332
GreedyH 1D,4096,7.35189
GreedyH 1D,8192,40.2173
GreedyH 1D,16384,205.58419
DataCube dD,100,0.0001
DataCube dD,1000,0.0003
DataCube dD,10000,0.0105
DataCube dD,100000,0.13
DataCube dD,1000000,3.2741
DataCube dD,10000000,76.0053
DataCube dD,100000000,1652.7481
HDMM 1D,32,0.014617
HDMM 1D,64,0.139496
HDMM 1D,128,0.81519
HDMM 1D,256,1.91178
HDMM 1D,512,25.651734
HDMM 1D,1024,162.414697
HDMM 1D,2048,1302.675304
HDMM 1D,4096,13784.184979
HDMM 1D,8192,121282.379316
LRM 3D,8,0.28
LRM 3D,64,1.66
LRM 3D,216,17.77
LRM 3D,512,143.98
LRM 3D,1000,948.58
DataCube 8D,256,0.0044
DataCube 8D,6561,0.0646
DataCube 8D,65536,0.7147
DataCube 8D,390625,4.7057
DataCube 8D,1679616,22.2059
DataCube 8D,5764801,81.5531
DataCube 8D,16777216,270.9109
DataCube 8D,43046721,689.9492
DataCube 8D,100000000,1652.7481
HDMM 8D,256,6.49837
HDMM 8D,6561,4.36759
HDMM 8D,65536,4.59861
HDMM 8D,390625,4.69515
HDMM 8D,1679616,5.83206
HDMM 8D,5764801,6.62038
HDMM 8D,16777216,9.72485
HDMM 8D,43046721,16.90497
HDMM 8D,100000000,34.87722
HDMM 8D,214358881,67.80566
HDMM 8D,429981696,127.57859
HDMM 8D,815730721,257.51298
LRM 8D,256,23.0
