income,age,marital,race,sex
6300,45,5,1,2
35000,63,5,1,1
26502,48,5,1,2
28000,26,7,1,1
9568,38,7,1,1
21666,34,6,1,2
20800,37,7,1,2
42300,35,2,1,2
8340,42,6,1,2
63660,25,7,1,2
13956,22,7,1,1
84000,45,1,1,1
48752,23,1,1,1
32000,43,1,1,2
20800,29,1,2,1
7300,60,1,1,1
36100,40,1,1,1
69768,67,1,1,1
2590,35,7,2,2
79738,51,1,1,1
11000,28,1,2,1
115090,31,7,2,2
105000,52,1,1,1
17000,25,1,1,1
112004,29,7,1,1
34852,73,1,1,1
20000,26,1,1,1
25000,21,7,1,2
42000,30,1,1,1
29000,18,7,1,1
22200,27,7,2,2
81037,46,1,1,1
3000,62,5,1,2
38292,60,1,1,1
24791,30,1,1,1
64200,35,1,1,1
39800,32,1,1,2
40192,44,5,1,2
29105,25,7,1,1
25000,37,1,2,1
16000,22,7,1,1
104090,45,1,1,1
67350,28,1,1,1
26000,23,7,1,2
30160,43,1,1,2
31600,36,1,1,1
41456,50,1,1,2
23092,67,1,1,1
91719,48,1,1,2
21200,27,7,1,1
58900,38,1,1,2
15600,26,1,1,1
15312,29,7,1,2
7908,59,4,1,2
21646,57,1,1,1
45130,23,1,1,2
7195,26,1,1,2
18000,30,7,2,2
7000,37,7,1,1
22000,22,7,1,2
4560,41,7,2,1
29425,34,1,1,2
29003,29,5,1,1
45000,25,7,1,1
33400,43,5,1,2
73225,40,1,1,1
17292,75,5,1,1
21088,82,4,1,2
10965,88,4,1,2
7166,68,5,1,2
13528,80,4,1,2
16512,49,5,1,1
30841,73,1,1,1
17106,61,1,1,1
71000,34,1,2,2
29060,43,6,1,2
42300,27,7,2,2
28280,19,7,1,1
17912,18,7,1,1
52770,44,1,1,2
3348,22,7,2,2
59070,49,1,1,2
51550,40,1,1,1
76000,37,1,1,1
54927,58,1,1,1
79667,46,1,1,1
58408,34,1,1,1
53126,56,1,1,1
45572,67,1,1,1
88754,71,1,1,1
79908,42,1,1,2
44135,51,7,1,2
53014,41,5,1,2
90834,29,7,1,1
113000,48,5,1,1
55000,43,7,1,2
50814,47,1,1,1
102150,68,4,1,2
25634,66,1,1,1
37395,53,5,1,2
70050,48,1,1,2
7434,45,7,1,2
7904,52,5,3,2
34207,30,1,1,2
14317,86,4,1,2
20950,69,1,1,2
63400,35,1,1,1
26317,59,7,1,2
72006,23,1,1,1
21815,76,1,1,1
34914,62,1,1,1
42176,73,1,1,1
104500,51,1,1,1
14261,46,6,2,2
34781,25,7,1,2
102300,34,5,1,1
9484,44,5,1,2
40168,45,1,1,1
58000,61,3,1,1
10176,71,7,1,1
15278,70,4,1,1
57000,37,7,1,1
282577,46,1,1,1
83550,36,1,1,1
105161,48,1,1,1
38000,51,1,2,1
